year,ai_value,unemployment_value
2023,7.2,2.6
2023,7.2,1.4
2023,7.2,0.6
2023,7.2,
2023,7.2,2.9
2023,7.2,1.4
2023,7.2,0.6
2023,7.2,
2023,7.2,2.1
2023,7.2,1.4
2023,7.2,0.5
2023,7.2,
2023,7.2,
2023,7.2,1.4
2023,7.2,
2023,7.2,
2023,7.2,
2023,7.2,1.4
2023,7.2,
2023,7.2,
2023,7.2,
2023,7.2,
2023,7.2,
2023,7.2,
2023,7.2,4.0
2023,7.2,1.5
2023,7.2,0.5
2023,7.2,
2023,7.2,4.0
2023,7.2,1.5
2023,7.2,0.5
2023,7.2,
2023,7.2,
2023,7.2,1.5
2023,7.2,0.5
2023,7.2,
2023,7.2,2.0
2023,7.2,1.2
2023,7.2,0.9
2023,7.2,
2023,7.2,2.1
2023,7.2,
2023,7.2,
2023,7.2,
2023,7.2,
2023,7.2,1.4
2023,7.2,
2023,14.0,
2023,14.0,2.6
2023,14.0,1.4
2023,14.0,0.6
2023,14.0,
2023,14.0,2.9
2023,14.0,1.4
2023,14.0,0.6
2023,14.0,
2023,14.0,2.1
2023,14.0,1.4
2023,14.0,0.5
2023,14.0,
2023,14.0,
2023,14.0,1.4
2023,14.0,
2023,14.0,
2023,14.0,
2023,14.0,1.4
2023,14.0,
2023,14.0,
2023,14.0,
2023,14.0,
2023,14.0,
2023,14.0,
2023,14.0,4.0
2023,14.0,1.5
2023,14.0,0.5
2023,14.0,
2023,14.0,4.0
2023,14.0,1.5
2023,14.0,0.5
2023,14.0,
2023,14.0,
2023,14.0,1.5
2023,14.0,0.5
2023,14.0,
2023,14.0,2.0
2023,14.0,1.2
2023,14.0,0.9
2023,14.0,
2023,14.0,2.1
2023,14.0,
2023,14.0,
2023,14.0,
2023,14.0,
2023,14.0,1.4
2023,14.0,
2024,5.1,
2024,5.1,1.9
2024,5.1,1.3
2024,5.1,0.6
2024,5.1,
2024,5.1,1.7
2024,5.1,1.3
2024,5.1,0.6
2024,5.1,
2024,5.1,2.2
2024,5.1,1.3
2024,5.1,0.6
2024,5.1,
2024,5.1,
2024,5.1,1.4
2024,5.1,
2024,5.1,
2024,5.1,
2024,5.1,1.6
2024,5.1,
2024,5.1,
2024,5.1,
2024,5.1,
2024,5.1,
2024,5.1,
2024,5.1,2.9
2024,5.1,1.3
2024,5.1,0.5
2024,5.1,
2024,5.1,2.9
2024,5.1,1.1
2024,5.1,0.5
2024,5.1,
2024,5.1,
2024,5.1,1.4
2024,5.1,0.6
2024,5.1,
2024,5.1,1.3
2024,5.1,1.2
2024,5.1,0.7
2024,5.1,
2024,5.1,
2024,5.1,
2024,5.1,
2024,5.1,
2024,5.1,
2024,5.1,
2024,5.1,
2024,9.8,
2024,9.8,1.9
2024,9.8,1.3
2024,9.8,0.6
2024,9.8,
2024,9.8,1.7
2024,9.8,1.3
2024,9.8,0.6
2024,9.8,
2024,9.8,2.2
2024,9.8,1.3
2024,9.8,0.6
2024,9.8,
2024,9.8,
2024,9.8,1.4
2024,9.8,
2024,9.8,
2024,9.8,
2024,9.8,1.6
2024,9.8,
2024,9.8,
2024,9.8,
2024,9.8,
2024,9.8,
2024,9.8,
2024,9.8,2.9
2024,9.8,1.3
2024,9.8,0.5
2024,9.8,
2024,9.8,2.9
2024,9.8,1.1
2024,9.8,0.5
2024,9.8,
2024,9.8,
2024,9.8,1.4
2024,9.8,0.6
2024,9.8,
2024,9.8,1.3
2024,9.8,1.2
